period_code,period_label,period_type,geography_code,geography_label,observation,measure,unit
2018-04-29,2018-04-29,day,K03000001,Great Britain,1.844,SAP actual day,p/kWh
2018-04-30,2018-04-30,day,K03000001,Great Britain,1.845,SAP actual day,p/kWh
2018-05-01,2018-05-01,day,K03000001,Great Britain,1.811,SAP actual day,p/kWh
2018-05-02,2018-05-02,day,K03000001,Great Britain,1.823,SAP actual day,p/kWh
2018-05-03,2018-05-03,day,K03000001,Great Britain,1.801,SAP actual day,p/kWh
2018-05-04,2018-05-04,day,K03000001,Great Britain,1.829,SAP actual day,p/kWh
2018-05-05,2018-05-05,day,K03000001,Great Britain,1.807,SAP actual day,p/kWh
2018-05-06,2018-05-06,day,K03000001,Great Britain,1.795,SAP actual day,p/kWh
2018-05-07,2018-05-07,day,K03000001,Great Britain,1.815,SAP actual day,p/kWh
2018-05-08,2018-05-08,day,K03000001,Great Britain,1.829,SAP actual day,p/kWh
2018-05-09,2018-05-09,day,K03000001,Great Britain,1.782,SAP actual day,p/kWh
2018-05-10,2018-05-10,day,K03000001,Great Britain,1.823,SAP actual day,p/kWh
2018-05-11,2018-05-11,day,K03000001,Great Britain,1.876,SAP actual day,p/kWh
2018-05-12,2018-05-12,day,K03000001,Great Britain,1.895,SAP actual day,p/kWh
2018-05-13,2018-05-13,day,K03000001,Great Britain,1.861,SAP actual day,p/kWh
2018-05-14,2018-05-14,day,K03000001,Great Britain,1.931,SAP actual day,p/kWh
2018-05-15,2018-05-15,day,K03000001,Great Britain,1.861,SAP actual day,p/kWh
2018-05-16,2018-05-16,day,K03000001,Great Britain,1.894,SAP actual day,p/kWh
2018-05-17,2018-05-17,day,K03000001,Great Britain,1.976,SAP actual day,p/kWh
2018-05-18,2018-05-18,day,K03000001,Great Britain,1.947,SAP actual day,p/kWh
2018-05-19,2018-05-19,day,K03000001,Great Britain,1.927,SAP actual day,p/kWh
2018-05-20,2018-05-20,day,K03000001,Great Britain,1.887,SAP actual day,p/kWh
2018-05-21,2018-05-21,day,K03000001,Great Britain,1.928,SAP actual day,p/kWh
2018-05-22,2018-05-22,day,K03000001,Great Britain,2.007,SAP actual day,p/kWh
2018-05-23,2018-05-23,day,K03000001,Great Britain,1.986,SAP actual day,p/kWh
2018-05-24,2018-05-24,day,K03000001,Great Britain,2.019,SAP actual day,p/kWh
2018-05-25,2018-05-25,day,K03000001,Great Britain,1.909,SAP actual day,p/kWh
2018-05-26,2018-05-26,day,K03000001,Great Britain,1.862,SAP actual day,p/kWh
2018-05-27,2018-05-27,day,K03000001,Great Britain,1.886,SAP actual day,p/kWh
2018-05-28,2018-05-28,day,K03000001,Great Britain,1.915,SAP actual day,p/kWh
2018-05-29,2018-05-29,day,K03000001,Great Britain,2.016,SAP actual day,p/kWh
2018-05-30,2018-05-30,day,K03000001,Great Britain,2.116,SAP actual day,p/kWh
2018-05-31,2018-05-31,day,K03000001,Great Britain,2.035,SAP actual day,p/kWh
2018-06-01,2018-06-01,day,K03000001,Great Britain,1.965,SAP actual day,p/kWh
2018-06-02,2018-06-02,day,K03000001,Great Britain,1.985,SAP actual day,p/kWh
2018-06-03,2018-06-03,day,K03000001,Great Britain,1.992,SAP actual day,p/kWh
2018-06-04,2018-06-04,day,K03000001,Great Britain,2.029,SAP actual day,p/kWh
2018-06-05,2018-06-05,day,K03000001,Great Britain,1.959,SAP actual day,p/kWh
2018-06-06,2018-06-06,day,K03000001,Great Britain,1.948,SAP actual day,p/kWh
2018-06-07,2018-06-07,day,K03000001,Great Britain,2.02,SAP actual day,p/kWh
2018-06-08,2018-06-08,day,K03000001,Great Britain,2.005,SAP actual day,p/kWh
2018-06-09,2018-06-09,day,K03000001,Great Britain,1.957,SAP actual day,p/kWh
2018-06-10,2018-06-10,day,K03000001,Great Britain,1.914,SAP actual day,p/kWh
2018-06-11,2018-06-11,day,K03000001,Great Britain,1.868,SAP actual day,p/kWh
2018-06-12,2018-06-12,day,K03000001,Great Britain,1.86,SAP actual day,p/kWh
2018-06-13,2018-06-13,day,K03000001,Great Britain,1.992,SAP actual day,p/kWh
2018-06-14,2018-06-14,day,K03000001,Great Britain,1.927,SAP actual day,p/kWh
2018-06-15,2018-06-15,day,K03000001,Great Britain,1.88,SAP actual day,p/kWh
2018-06-16,2018-06-16,day,K03000001,Great Britain,1.857,SAP actual day,p/kWh
2018-06-17,2018-06-17,day,K03000001,Great Britain,1.865,SAP actual day,p/kWh
2018-06-18,2018-06-18,day,K03000001,Great Britain,1.873,SAP actual day,p/kWh
2018-06-19,2018-06-19,day,K03000001,Great Britain,1.835,SAP actual day,p/kWh
2018-06-20,2018-06-20,day,K03000001,Great Britain,1.833,SAP actual day,p/kWh
2018-06-21,2018-06-21,day,K03000001,Great Britain,1.758,SAP actual day,p/kWh
2018-06-22,2018-06-22,day,K03000001,Great Britain,1.8,SAP actual day,p/kWh
2018-06-23,2018-06-23,day,K03000001,Great Britain,1.824,SAP actual day,p/kWh
2018-06-24,2018-06-24,day,K03000001,Great Britain,1.802,SAP actual day,p/kWh
2018-06-25,2018-06-25,day,K03000001,Great Britain,1.808,SAP actual day,p/kWh
2018-06-26,2018-06-26,day,K03000001,Great Britain,1.834,SAP actual day,p/kWh
2018-06-27,2018-06-27,day,K03000001,Great Britain,1.89,SAP actual day,p/kWh
2018-06-28,2018-06-28,day,K03000001,Great Britain,1.867,SAP actual day,p/kWh
2018-06-29,2018-06-29,day,K03000001,Great Britain,1.785,SAP actual day,p/kWh
2018-06-30,2018-06-30,day,K03000001,Great Britain,1.808,SAP actual day,p/kWh
2018-07-01,2018-07-01,day,K03000001,Great Britain,1.808,SAP actual day,p/kWh
2018-07-02,2018-07-02,day,K03000001,Great Britain,1.911,SAP actual day,p/kWh
2018-07-03,2018-07-03,day,K03000001,Great Britain,1.904,SAP actual day,p/kWh
2018-07-04,2018-07-04,day,K03000001,Great Britain,1.937,SAP actual day,p/kWh
2018-07-05,2018-07-05,day,K03000001,Great Britain,1.986,SAP actual day,p/kWh
2018-07-06,2018-07-06,day,K03000001,Great Britain,1.961,SAP actual day,p/kWh
2018-07-07,2018-07-07,day,K03000001,Great Britain,1.975,SAP actual day,p/kWh
2018-07-08,2018-07-08,day,K03000001,Great Britain,1.982,SAP actual day,p/kWh
2018-07-09,2018-07-09,day,K03000001,Great Britain,2.023,SAP actual day,p/kWh
2018-07-10,2018-07-10,day,K03000001,Great Britain,1.985,SAP actual day,p/kWh
2018-07-11,2018-07-11,day,K03000001,Great Britain,1.973,SAP actual day,p/kWh
2018-07-12,2018-07-12,day,K03000001,Great Britain,1.934,SAP actual day,p/kWh
2018-07-13,2018-07-13,day,K03000001,Great Britain,2.002,SAP actual day,p/kWh
2018-07-14,2018-07-14,day,K03000001,Great Britain,1.964,SAP actual day,p/kWh
2018-07-15,2018-07-15,day,K03000001,Great Britain,1.963,SAP actual day,p/kWh
2018-07-16,2018-07-16,day,K03000001,Great Britain,1.902,SAP actual day,p/kWh
2018-07-17,2018-07-17,day,K03000001,Great Britain,1.96,SAP actual day,p/kWh
2018-07-18,2018-07-18,day,K03000001,Great Britain,1.999,SAP actual day,p/kWh
2018-07-19,2018-07-19,day,K03000001,Great Britain,1.983,SAP actual day,p/kWh
2018-07-20,2018-07-20,day,K03000001,Great Britain,1.972,SAP actual day,p/kWh
2018-07-21,2018-07-21,day,K03000001,Great Britain,1.944,SAP actual day,p/kWh
2018-07-22,2018-07-22,day,K03000001,Great Britain,1.964,SAP actual day,p/kWh
2018-07-23,2018-07-23,day,K03000001,Great Britain,2.004,SAP actual day,p/kWh
2018-07-24,2018-07-24,day,K03000001,Great Britain,2.009,SAP actual day,p/kWh
2018-07-25,2018-07-25,day,K03000001,Great Britain,1.971,SAP actual day,p/kWh
2018-07-26,2018-07-26,day,K03000001,Great Britain,1.96,SAP actual day,p/kWh
2018-07-27,2018-07-27,day,K03000001,Great Britain,1.97,SAP actual day,p/kWh
2018-07-28,2018-07-28,day,K03000001,Great Britain,1.965,SAP actual day,p/kWh
2018-07-29,2018-07-29,day,K03000001,Great Britain,1.964,SAP actual day,p/kWh
2018-07-30,2018-07-30,day,K03000001,Great Britain,2.016,SAP actual day,p/kWh
2018-07-31,2018-07-31,day,K03000001,Great Britain,2.0,SAP actual day,p/kWh
2018-08-01,2018-08-01,day,K03000001,Great Britain,1.967,SAP actual day,p/kWh
2018-08-02,2018-08-02,day,K03000001,Great Britain,2.016,SAP actual day,p/kWh
2018-08-03,2018-08-03,day,K03000001,Great Britain,2.005,SAP actual day,p/kWh
2018-08-04,2018-08-04,day,K03000001,Great Britain,1.965,SAP actual day,p/kWh
2018-08-05,2018-08-05,day,K03000001,Great Britain,1.964,SAP actual day,p/kWh
2018-08-06,2018-08-06,day,K03000001,Great Britain,2.004,SAP actual day,p/kWh
2018-08-07,2018-08-07,day,K03000001,Great Britain,2.007,SAP actual day,p/kWh
2018-08-08,2018-08-08,day,K03000001,Great Britain,2.014,SAP actual day,p/kWh
2018-08-09,2018-08-09,day,K03000001,Great Britain,1.984,SAP actual day,p/kWh
2018-08-10,2018-08-10,day,K03000001,Great Britain,2.005,SAP actual day,p/kWh
2018-08-11,2018-08-11,day,K03000001,Great Britain,2.024,SAP actual day,p/kWh
2018-08-12,2018-08-12,day,K03000001,Great Britain,2.035,SAP actual day,p/kWh
2018-08-13,2018-08-13,day,K03000001,Great Britain,2.107,SAP actual day,p/kWh
2018-08-14,2018-08-14,day,K03000001,Great Britain,2.047,SAP actual day,p/kWh
2018-08-15,2018-08-15,day,K03000001,Great Britain,2.008,SAP actual day,p/kWh
2018-08-16,2018-08-16,day,K03000001,Great Britain,2.093,SAP actual day,p/kWh
2018-08-17,2018-08-17,day,K03000001,Great Britain,2.128,SAP actual day,p/kWh
2018-08-18,2018-08-18,day,K03000001,Great Britain,2.084,SAP actual day,p/kWh
2018-08-19,2018-08-19,day,K03000001,Great Britain,2.049,SAP actual day,p/kWh
2018-08-20,2018-08-20,day,K03000001,Great Britain,2.142,SAP actual day,p/kWh
2018-08-21,2018-08-21,day,K03000001,Great Britain,2.181,SAP actual day,p/kWh
2018-08-22,2018-08-22,day,K03000001,Great Britain,2.2,SAP actual day,p/kWh
2018-08-23,2018-08-23,day,K03000001,Great Britain,2.223,SAP actual day,p/kWh
2018-08-24,2018-08-24,day,K03000001,Great Britain,2.244,SAP actual day,p/kWh
2018-08-25,2018-08-25,day,K03000001,Great Britain,2.275,SAP actual day,p/kWh
2018-08-26,2018-08-26,day,K03000001,Great Britain,2.234,SAP actual day,p/kWh
2018-08-27,2018-08-27,day,K03000001,Great Britain,2.273,SAP actual day,p/kWh
2018-08-28,2018-08-28,day,K03000001,Great Britain,2.341,SAP actual day,p/kWh
2018-08-29,2018-08-29,day,K03000001,Great Britain,2.401,SAP actual day,p/kWh
2018-08-30,2018-08-30,day,K03000001,Great Britain,2.377,SAP actual day,p/kWh
2018-08-31,2018-08-31,day,K03000001,Great Britain,2.291,SAP actual day,p/kWh
2018-09-01,2018-09-01,day,K03000001,Great Britain,2.317,SAP actual day,p/kWh
2018-09-02,2018-09-02,day,K03000001,Great Britain,2.314,SAP actual day,p/kWh
2018-09-03,2018-09-03,day,K03000001,Great Britain,2.418,SAP actual day,p/kWh
2018-09-04,2018-09-04,day,K03000001,Great Britain,2.418,SAP actual day,p/kWh
2018-09-05,2018-09-05,day,K03000001,Great Britain,2.454,SAP actual day,p/kWh
2018-09-06,2018-09-06,day,K03000001,Great Britain,2.541,SAP actual day,p/kWh
2018-09-07,2018-09-07,day,K03000001,Great Britain,2.559,SAP actual day,p/kWh
2018-09-08,2018-09-08,day,K03000001,Great Britain,2.567,SAP actual day,p/kWh
2018-09-09,2018-09-09,day,K03000001,Great Britain,2.493,SAP actual day,p/kWh
2018-09-10,2018-09-10,day,K03000001,Great Britain,2.625,SAP actual day,p/kWh
2018-09-11,2018-09-11,day,K03000001,Great Britain,2.581,SAP actual day,p/kWh
2018-09-12,2018-09-12,day,K03000001,Great Britain,2.519,SAP actual day,p/kWh
2018-09-13,2018-09-13,day,K03000001,Great Britain,2.408,SAP actual day,p/kWh
2018-09-14,2018-09-14,day,K03000001,Great Britain,2.407,SAP actual day,p/kWh
2018-09-15,2018-09-15,day,K03000001,Great Britain,2.432,SAP actual day,p/kWh
2018-09-16,2018-09-16,day,K03000001,Great Britain,2.398,SAP actual day,p/kWh
2018-09-17,2018-09-17,day,K03000001,Great Britain,2.469,SAP actual day,p/kWh
2018-09-18,2018-09-18,day,K03000001,Great Britain,2.406,SAP actual day,p/kWh
2018-09-19,2018-09-19,day,K03000001,Great Britain,2.537,SAP actual day,p/kWh
2018-09-20,2018-09-20,day,K03000001,Great Britain,2.599,SAP actual day,p/kWh
2018-09-21,2018-09-21,day,K03000001,Great Britain,2.65,SAP actual day,p/kWh
2018-09-22,2018-09-22,day,K03000001,Great Britain,2.644,SAP actual day,p/kWh
2018-09-23,2018-09-23,day,K03000001,Great Britain,2.604,SAP actual day,p/kWh
2018-09-24,2018-09-24,day,K03000001,Great Britain,2.681,SAP actual day,p/kWh
2018-09-25,2018-09-25,day,K03000001,Great Britain,2.637,SAP actual day,p/kWh
2018-09-26,2018-09-26,day,K03000001,Great Britain,2.554,SAP actual day,p/kWh
2018-09-27,2018-09-27,day,K03000001,Great Britain,2.481,SAP actual day,p/kWh
2018-09-28,2018-09-28,day,K03000001,Great Britain,2.496,SAP actual day,p/kWh
2018-09-29,2018-09-29,day,K03000001,Great Britain,2.485,SAP actual day,p/kWh
2018-09-30,2018-09-30,day,K03000001,Great Britain,2.461,SAP actual day,p/kWh
2018-10-01,2018-10-01,day,K03000001,Great Britain,2.433,SAP actual day,p/kWh
2018-10-02,2018-10-02,day,K03000001,Great Britain,2.452,SAP actual day,p/kWh
2018-10-03,2018-10-03,day,K03000001,Great Britain,2.428,SAP actual day,p/kWh
2018-10-04,2018-10-04,day,K03000001,Great Britain,2.456,SAP actual day,p/kWh
2018-10-05,2018-10-05,day,K03000001,Great Britain,2.493,SAP actual day,p/kWh
2018-10-06,2018-10-06,day,K03000001,Great Britain,2.449,SAP actual day,p/kWh
2018-10-07,2018-10-07,day,K03000001,Great Britain,2.441,SAP actual day,p/kWh
2018-10-08,2018-10-08,day,K03000001,Great Britain,2.361,SAP actual day,p/kWh
2018-10-09,2018-10-09,day,K03000001,Great Britain,2.231,SAP actual day,p/kWh
2018-10-10,2018-10-10,day,K03000001,Great Britain,2.204,SAP actual day,p/kWh
2018-10-11,2018-10-11,day,K03000001,Great Britain,2.138,SAP actual day,p/kWh
2018-10-12,2018-10-12,day,K03000001,Great Britain,2.262,SAP actual day,p/kWh
2018-10-13,2018-10-13,day,K03000001,Great Britain,2.263,SAP actual day,p/kWh
2018-10-14,2018-10-14,day,K03000001,Great Britain,2.311,SAP actual day,p/kWh
2018-10-15,2018-10-15,day,K03000001,Great Britain,2.356,SAP actual day,p/kWh
2018-10-16,2018-10-16,day,K03000001,Great Britain,2.287,SAP actual day,p/kWh
2018-10-17,2018-10-17,day,K03000001,Great Britain,2.157,SAP actual day,p/kWh
2018-10-18,2018-10-18,day,K03000001,Great Britain,2.212,SAP actual day,p/kWh
2018-10-19,2018-10-19,day,K03000001,Great Britain,2.316,SAP actual day,p/kWh
2018-10-20,2018-10-20,day,K03000001,Great Britain,2.257,SAP actual day,p/kWh
2018-10-21,2018-10-21,day,K03000001,Great Britain,2.07,SAP actual day,p/kWh
2018-10-22,2018-10-22,day,K03000001,Great Britain,2.137,SAP actual day,p/kWh
2018-10-23,2018-10-23,day,K03000001,Great Britain,2.086,SAP actual day,p/kWh
2018-10-24,2018-10-24,day,K03000001,Great Britain,2.137,SAP actual day,p/kWh
2018-10-25,2018-10-25,day,K03000001,Great Britain,2.215,SAP actual day,p/kWh
2018-10-26,2018-10-26,day,K03000001,Great Britain,2.119,SAP actual day,p/kWh
2018-10-27,2018-10-27,day,K03000001,Great Britain,2.097,SAP actual day,p/kWh
2018-10-28,2018-10-28,day,K03000001,Great Britain,2.212,SAP actual day,p/kWh
2018-10-29,2018-10-29,day,K03000001,Great Britain,2.228,SAP actual day,p/kWh
2018-10-30,2018-10-30,day,K03000001,Great Britain,2.241,SAP actual day,p/kWh
2018-10-31,2018-10-31,day,K03000001,Great Britain,2.145,SAP actual day,p/kWh
2018-11-01,2018-11-01,day,K03000001,Great Britain,2.098,SAP actual day,p/kWh
2018-11-02,2018-11-02,day,K03000001,Great Britain,2.105,SAP actual day,p/kWh
2018-11-03,2018-11-03,day,K03000001,Great Britain,2.091,SAP actual day,p/kWh
2018-11-04,2018-11-04,day,K03000001,Great Britain,2.101,SAP actual day,p/kWh
2018-11-05,2018-11-05,day,K03000001,Great Britain,2.08,SAP actual day,p/kWh
2018-11-06,2018-11-06,day,K03000001,Great Britain,2.072,SAP actual day,p/kWh
2018-11-07,2018-11-07,day,K03000001,Great Britain,2.153,SAP actual day,p/kWh
2018-11-08,2018-11-08,day,K03000001,Great Britain,2.174,SAP actual day,p/kWh
2018-11-09,2018-11-09,day,K03000001,Great Britain,2.117,SAP actual day,p/kWh
2018-11-10,2018-11-10,day,K03000001,Great Britain,2.094,SAP actual day,p/kWh
2018-11-11,2018-11-11,day,K03000001,Great Britain,2.112,SAP actual day,p/kWh
2018-11-12,2018-11-12,day,K03000001,Great Britain,2.195,SAP actual day,p/kWh
